X,Y,Z
1668.09,1537.06,1
1672.34,1489.41,1
1659.57,1447.06,1
1646.81,1404.71,1
1655.32,1415.29,1
1663.83,1425.88,1
1634.04,1410.0,1
1604.26,1394.12,1
1565.96,1394.12,1
1527.66,1394.12,1
1514.89,1462.94,0
1502.13,1531.76,1
1506.38,1568.82,1
1510.64,1605.88,1
1506.38,1648.24,1
1502.13,1690.59,1
1502.13,1727.65,1
1502.13,1764.71,1
1506.38,1807.06,1
1510.64,1849.41,1
1510.64,1891.76,1
1510.64,1934.12,1
1506.38,1971.18,1
1502.13,2008.24,1
1485.11,2055.88,0
1468.09,2103.53,1
1429.79,2092.94,1
1391.49,2082.35,1
1357.45,2061.18,1
1323.4,2040.0,1
1293.62,2008.24,1
1263.83,1976.47,1
1255.32,1987.06,0
1246.81,1997.65,1
1280.85,1939.41,1
1314.89,1881.18,1
1348.94,1817.65,1
1382.98,1754.12,1
1412.77,1680.0,1
1442.55,1605.88,1
1455.32,1552.94,1
1468.09,1500.0,1
1455.32,1537.06,1
1442.55,1574.12,1
1417.02,1616.47,1
1391.49,1658.82,1
1370.21,1701.18,1
1348.94,1743.53,1
1327.66,1785.88,1
1306.38,1828.24,1
1276.6,1875.88,1
1246.81,1923.53,1
1272.34,1971.18,1
1297.87,2018.82,1
1246.81,2087.65,0
1195.74,2156.47,1
1263.83,2193.53,1
1331.91,2230.59,1
1234.04,2172.35,0
1136.17,2114.12,1
1102.13,2156.47,1
1068.09,2198.82,1
1025.53,2241.18,1
982.98,2283.53,1
919.15,2320.59,1
855.32,2357.65,1
808.51,2310.0,0
761.7,2262.35,1
761.7,2220.0,1
761.7,2177.65,1
748.94,2161.76,1
736.17,2145.88,1
702.13,2151.18,1
668.09,2156.47,1
634.04,2198.82,1
600.0,2241.18,1
638.3,2182.94,0
676.6,2124.71,1
642.55,2167.06,1
608.51,2209.41,1
608.51,2257.06,1
608.51,2304.71,1
617.02,2320.59,1
625.53,2336.47,1
659.57,2357.65,1
693.62,2378.82,1
723.4,2389.41,1
753.19,2400.0,1
787.23,2394.71,1
821.28,2389.41,1
855.32,2378.82,1
889.36,2368.24,1
919.15,2347.06,1
948.94,2325.88,1
982.98,2294.12,1
1017.02,2262.35,1
1051.06,2230.59,1
1085.11,2198.82,1
1119.15,2172.35,1
1153.19,2145.88,1
1187.23,2161.76,1
1221.28,2177.65,1
1255.32,2188.24,1
1289.36,2198.82,1
1327.66,2209.41,1
1365.96,2220.0,1
1404.26,2225.29,1
1442.55,2230.59,1
1476.6,2230.59,1
1510.64,2230.59,1
1544.68,2235.88,1
1578.72,2241.18,1
1617.02,2235.88,1
1655.32,2230.59,1
1455.32,2024.12,0
1255.32,1817.65,1
1280.85,1780.59,1
1306.38,1743.53,1
1336.17,1706.47,1
1365.96,1669.41,1
1348.94,1701.18,1
1331.91,1732.94,1
1297.87,1780.59,1
1263.83,1828.24,1
1229.79,1833.53,1
1195.74,1838.82,1
1187.23,1833.53,1
1178.72,1828.24,1
1165.96,1785.88,1
1153.19,1743.53,1
1153.19,1695.88,1
1153.19,1648.24,1
1097.87,1854.71,0
1042.55,2061.18,1
995.74,2098.24,1
948.94,2135.29,1
927.66,2188.24,0
906.38,2241.18,1
948.94,2198.82,1
991.49,2156.47,1
1034.04,2119.41,1
1076.6,2082.35,1
1042.55,2108.82,1
1008.51,2135.29,1
970.21,2167.06,1
931.91,2198.82,1
902.13,2220.0,1
872.34,2241.18,1
834.04,2251.76,1
795.74,2262.35,1
778.72,2246.47,1
761.7,2230.59,1
740.43,2182.94,1
719.15,2135.29,1
1076.6,2108.82,0
1434.04,2082.35,1
1370.21,2045.29,1
1306.38,2008.24,1
1289.36,1965.88,1
1272.34,1923.53,1
1302.13,1891.76,1
1331.91,1860.0,1
1357.45,1822.94,1
1382.98,1785.88,1
1404.26,1748.82,1
1425.53,1711.76,1
1455.32,1669.41,1
1485.11,1627.06,1
1497.87,1584.71,1
1510.64,1542.35,1
1587.23,1468.24,0
1663.83,1394.12,1
1668.09,1436.47,1
1672.34,1478.82,1
1663.83,1521.18,1
1655.32,1563.53,1
1655.32,1611.18,1
1655.32,1658.82,1
1655.32,1701.18,1
1655.32,1743.53,1
1655.32,1785.88,1
1655.32,1828.24,1
1651.06,1875.88,1
1646.81,1923.53,1
1646.81,1965.88,1
1646.81,2008.24,1
1646.81,2050.59,1
1646.81,2092.94,1
1655.32,2135.29,1
1663.83,2177.65,1
1672.34,2182.94,1
1680.85,2188.24,1
1927.66,2098.24,0
2174.47,2008.24,1
2191.49,1965.88,1
2208.51,1923.53,1
2225.53,1881.18,1
2242.55,1838.82,1
2259.57,1791.18,1
2276.6,1743.53,1
2272.34,1706.47,1
2268.09,1669.41,1
2263.83,1627.06,1
2259.57,1584.71,1
2263.83,1542.35,1
2268.09,1500.0,1
2263.83,1457.65,1
2259.57,1415.29,1
2242.55,1372.94,1
2225.53,1330.59,1
2200.0,1282.94,1
2174.47,1235.29,1
2136.17,1192.94,1
2097.87,1150.59,1
2417.02,1155.88,0
2736.17,1161.18,1
2748.94,1208.82,1
2761.7,1256.47,1
2757.45,1298.82,1
2753.19,1341.18,1
2757.45,1388.82,1
2761.7,1436.47,1
